"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality";labels
6.700000e+00;5.800000e-01;8.000000e-02;1.800000e+00;9.700000e-02;1.500000e+01;6.500000e+01;9.959000e-01;3.280000e+00;5.400000e-01;9.200000e+00;5.000000e+00;1.000000e+00
7.500000e+00;5.000000e-01;3.600000e-01;6.100000e+00;7.100000e-02;1.700000e+01;1.020000e+02;9.978000e-01;3.350000e+00;8.000000e-01;1.050000e+01;5.000000e+00;1.000000e+00
5.600000e+00;6.150000e-01;0.000000e+00;1.600000e+00;8.900000e-02;1.600000e+01;5.900000e+01;9.943000e-01;3.580000e+00;5.200000e-01;9.900000e+00;5.000000e+00;1.000000e+00
7.800000e+00;6.100000e-01;2.900000e-01;1.600000e+00;1.140000e-01;9.000000e+00;2.900000e+01;9.974000e-01;3.260000e+00;1.560000e+00;9.100000e+00;5.000000e+00;1.000000e+00
8.900000e+00;6.200000e-01;1.800000e-01;3.800000e+00;1.760000e-01;5.200000e+01;1.450000e+02;9.986000e-01;3.160000e+00;8.800000e-01;9.200000e+00;5.000000e+00;1.000000e+00
8.900000e+00;6.200000e-01;1.900000e-01;3.900000e+00;1.700000e-01;5.100000e+01;1.480000e+02;9.986000e-01;3.170000e+00;9.300000e-01;9.200000e+00;5.000000e+00;1.000000e+00
8.500000e+00;2.800000e-01;5.600000e-01;1.800000e+00;9.200000e-02;3.500000e+01;1.030000e+02;9.969000e-01;3.300000e+00;7.500000e-01;1.050000e+01;7.000000e+00;1.000000e+00
8.100000e+00;5.600000e-01;2.800000e-01;1.700000e+00;3.680000e-01;1.600000e+01;5.600000e+01;9.968000e-01;3.110000e+00;1.280000e+00;9.300000e+00;5.000000e+00;1.000000e+00
7.400000e+00;5.900000e-01;8.000000e-02;4.400000e+00;8.600000e-02;6.000000e+00;2.900000e+01;9.974000e-01;3.380000e+00;5.000000e-01;9.000000e+00;4.000000e+00;1.000000e+00
7.900000e+00;3.200000e-01;5.100000e-01;1.800000e+00;3.410000e-01;1.700000e+01;5.600000e+01;9.969000e-01;3.040000e+00;1.080000e+00;9.200000e+00;6.000000e+00;1.000000e+00
8.900000e+00;2.200000e-01;4.800000e-01;1.800000e+00;7.700000e-02;2.900000e+01;6.000000e+01;9.968000e-01;3.390000e+00;5.300000e-01;9.400000e+00;6.000000e+00;1.000000e+00
7.600000e+00;3.900000e-01;3.100000e-01;2.300000e+00;8.200000e-02;2.300000e+01;7.100000e+01;9.982000e-01;3.520000e+00;6.500000e-01;9.700000e+00;5.000000e+00;1.000000e+00
7.900000e+00;4.300000e-01;2.100000e-01;1.600000e+00;1.060000e-01;1.000000e+01;3.700000e+01;9.966000e-01;3.170000e+00;9.100000e-01;9.500000e+00;5.000000e+00;1.000000e+00
8.500000e+00;4.900000e-01;1.100000e-01;2.300000e+00;8.400000e-02;9.000000e+00;6.700000e+01;9.968000e-01;3.170000e+00;5.300000e-01;9.400000e+00;5.000000e+00;1.000000e+00
6.900000e+00;4.000000e-01;1.400000e-01;2.400000e+00;8.500000e-02;2.100000e+01;4.000000e+01;9.968000e-01;3.430000e+00;6.300000e-01;9.700000e+00;6.000000e+00;1.000000e+00
6.300000e+00;3.900000e-01;1.600000e-01;1.400000e+00;8.000000e-02;1.100000e+01;2.300000e+01;9.955000e-01;3.340000e+00;5.600000e-01;9.300000e+00;5.000000e+00;1.000000e+00
7.600000e+00;4.100000e-01;2.400000e-01;1.800000e+00;8.000000e-02;4.000000e+00;1.100000e+01;9.962000e-01;3.280000e+00;5.900000e-01;9.500000e+00;5.000000e+00;1.000000e+00
7.900000e+00;4.300000e-01;2.100000e-01;1.600000e+00;1.060000e-01;1.000000e+01;3.700000e+01;9.966000e-01;3.170000e+00;9.100000e-01;9.500000e+00;5.000000e+00;1.000000e+00
7.100000e+00;7.100000e-01;0.000000e+00;1.900000e+00;8.000000e-02;1.400000e+01;3.500000e+01;9.972000e-01;3.470000e+00;5.500000e-01;9.400000e+00;5.000000e+00;1.000000e+00
7.800000e+00;6.450000e-01;0.000000e+00;2.000000e+00;8.200000e-02;8.000000e+00;1.600000e+01;9.964000e-01;3.380000e+00;5.900000e-01;9.800000e+00;6.000000e+00;1.000000e+00
6.700000e+00;6.750000e-01;7.000000e-02;2.400000e+00;8.900000e-02;1.700000e+01;8.200000e+01;9.958000e-01;3.350000e+00;5.400000e-01;1.010000e+01;5.000000e+00;1.000000e+00
6.900000e+00;6.850000e-01;0.000000e+00;2.500000e+00;1.050000e-01;2.200000e+01;3.700000e+01;9.966000e-01;3.460000e+00;5.700000e-01;1.060000e+01;6.000000e+00;1.000000e+00
8.300000e+00;6.550000e-01;1.200000e-01;2.300000e+00;8.300000e-02;1.500000e+01;1.130000e+02;9.966000e-01;3.170000e+00;6.600000e-01;9.800000e+00;5.000000e+00;1.000000e+00
6.900000e+00;6.050000e-01;1.200000e-01;1.070000e+01;7.300000e-02;4.000000e+01;8.300000e+01;9.993000e-01;3.450000e+00;5.200000e-01;9.400000e+00;6.000000e+00;1.000000e+00
5.200000e+00;3.200000e-01;2.500000e-01;1.800000e+00;1.030000e-01;1.300000e+01;5.000000e+01;9.957000e-01;3.380000e+00;5.500000e-01;9.200000e+00;5.000000e+00;1.000000e+00
7.800000e+00;6.450000e-01;0.000000e+00;5.500000e+00;8.600000e-02;5.000000e+00;1.800000e+01;9.986000e-01;3.400000e+00;5.500000e-01;9.600000e+00;6.000000e+00;1.000000e+00
7.800000e+00;6.000000e-01;1.400000e-01;2.400000e+00;8.600000e-02;3.000000e+00;1.500000e+01;9.975000e-01;3.420000e+00;6.000000e-01;1.080000e+01;6.000000e+00;1.000000e+00
8.100000e+00;3.800000e-01;2.800000e-01;2.100000e+00;6.600000e-02;1.300000e+01;3.000000e+01;9.968000e-01;3.230000e+00;7.300000e-01;9.700000e+00;7.000000e+00;1.000000e+00
5.700000e+00;1.130000e+00;9.000000e-02;1.500000e+00;1.720000e-01;7.000000e+00;1.900000e+01;9.940000e-01;3.500000e+00;4.800000e-01;9.800000e+00;4.000000e+00;1.000000e+00
7.300000e+00;4.500000e-01;3.600000e-01;5.900000e+00;7.400000e-02;1.200000e+01;8.700000e+01;9.978000e-01;3.330000e+00;8.300000e-01;1.050000e+01;5.000000e+00;1.000000e+00
7.300000e+00;4.500000e-01;3.600000e-01;5.900000e+00;7.400000e-02;1.200000e+01;8.700000e+01;9.978000e-01;3.330000e+00;8.300000e-01;1.050000e+01;5.000000e+00;1.000000e+00
8.800000e+00;6.100000e-01;3.000000e-01;2.800000e+00;8.800000e-02;1.700000e+01;4.600000e+01;9.976000e-01;3.260000e+00;5.100000e-01;9.300000e+00;4.000000e+00;1.000000e+00
7.500000e+00;4.900000e-01;2.000000e-01;2.600000e+00;3.320000e-01;8.000000e+00;1.400000e+01;9.968000e-01;3.210000e+00;9.000000e-01;1.050000e+01;6.000000e+00;1.000000e+00
8.100000e+00;6.600000e-01;2.200000e-01;2.200000e+00;6.900000e-02;9.000000e+00;2.300000e+01;9.968000e-01;3.300000e+00;1.200000e+00;1.030000e+01;5.000000e+00;1.000000e+00
6.800000e+00;6.700000e-01;2.000000e-02;1.800000e+00;5.000000e-02;5.000000e+00;1.100000e+01;9.962000e-01;3.480000e+00;5.200000e-01;9.500000e+00;5.000000e+00;1.000000e+00
4.600000e+00;5.200000e-01;1.500000e-01;2.100000e+00;5.400000e-02;8.000000e+00;6.500000e+01;9.934000e-01;3.900000e+00;5.600000e-01;1.310000e+01;4.000000e+00;1.000000e+00
7.700000e+00;9.350000e-01;4.300000e-01;2.200000e+00;1.140000e-01;2.200000e+01;1.140000e+02;9.970000e-01;3.250000e+00;7.300000e-01;9.200000e+00;5.000000e+00;1.000000e+00
8.700000e+00;2.900000e-01;5.200000e-01;1.600000e+00;1.130000e-01;1.200000e+01;3.700000e+01;9.969000e-01;3.250000e+00;5.800000e-01;9.500000e+00;5.000000e+00;1.000000e+00
6.400000e+00;4.000000e-01;2.300000e-01;1.600000e+00;6.600000e-02;5.000000e+00;1.200000e+01;9.958000e-01;3.340000e+00;5.600000e-01;9.200000e+00;5.000000e+00;1.000000e+00
5.600000e+00;3.100000e-01;3.700000e-01;1.400000e+00;7.400000e-02;1.200000e+01;9.600000e+01;9.954000e-01;3.320000e+00;5.800000e-01;9.200000e+00;5.000000e+00;1.000000e+00
8.800000e+00;6.600000e-01;2.600000e-01;1.700000e+00;7.400000e-02;4.000000e+00;2.300000e+01;9.971000e-01;3.150000e+00;7.400000e-01;9.200000e+00;5.000000e+00;1.000000e+00
6.600000e+00;5.200000e-01;4.000000e-02;2.200000e+00;6.900000e-02;8.000000e+00;1.500000e+01;9.956000e-01;3.400000e+00;6.300000e-01;9.400000e+00;6.000000e+00;1.000000e+00
6.600000e+00;5.000000e-01;4.000000e-02;2.100000e+00;6.800000e-02;6.000000e+00;1.400000e+01;9.955000e-01;3.390000e+00;6.400000e-01;9.400000e+00;6.000000e+00;1.000000e+00
8.600000e+00;3.800000e-01;3.600000e-01;3.000000e+00;8.100000e-02;3.000000e+01;1.190000e+02;9.970000e-01;3.200000e+00;5.600000e-01;9.400000e+00;5.000000e+00;1.000000e+00
7.600000e+00;5.100000e-01;1.500000e-01;2.800000e+00;1.100000e-01;3.300000e+01;7.300000e+01;9.955000e-01;3.170000e+00;6.300000e-01;1.020000e+01;6.000000e+00;1.000000e+00
7.700000e+00;6.200000e-01;4.000000e-02;3.800000e+00;8.400000e-02;2.500000e+01;4.500000e+01;9.978000e-01;3.340000e+00;5.300000e-01;9.500000e+00;5.000000e+00;1.000000e+00
1.020000e+01;4.200000e-01;5.700000e-01;3.400000e+00;7.000000e-02;4.000000e+00;1.000000e+01;9.971000e-01;3.040000e+00;6.300000e-01;9.600000e+00;5.000000e+00;1.000000e+00
7.500000e+00;6.300000e-01;1.200000e-01;5.100000e+00;1.110000e-01;5.000000e+01;1.100000e+02;9.983000e-01;3.260000e+00;7.700000e-01;9.400000e+00;5.000000e+00;1.000000e+00
7.800000e+00;5.900000e-01;1.800000e-01;2.300000e+00;7.600000e-02;1.700000e+01;5.400000e+01;9.975000e-01;3.430000e+00;5.900000e-01;1.000000e+01;5.000000e+00;1.000000e+00
7.300000e+00;3.900000e-01;3.100000e-01;2.400000e+00;7.400000e-02;9.000000e+00;4.600000e+01;9.962000e-01;3.410000e+00;5.400000e-01;9.400000e+00;6.000000e+00;1.000000e+00
8.800000e+00;4.000000e-01;4.000000e-01;2.200000e+00;7.900000e-02;1.900000e+01;5.200000e+01;9.980000e-01;3.440000e+00;6.400000e-01;9.200000e+00;5.000000e+00;1.000000e+00
7.700000e+00;6.900000e-01;4.900000e-01;1.800000e+00;1.150000e-01;2.000000e+01;1.120000e+02;9.968000e-01;3.210000e+00;7.100000e-01;9.300000e+00;5.000000e+00;1.000000e+00
7.500000e+00;5.200000e-01;1.600000e-01;1.900000e+00;8.500000e-02;1.200000e+01;3.500000e+01;9.968000e-01;3.380000e+00;6.200000e-01;9.500000e+00;7.000000e+00;1.000000e+00
7.000000e+00;7.350000e-01;5.000000e-02;2.000000e+00;8.100000e-02;1.300000e+01;5.400000e+01;9.966000e-01;3.390000e+00;5.700000e-01;9.800000e+00;5.000000e+00;1.000000e+00
7.200000e+00;7.250000e-01;5.000000e-02;4.650000e+00;8.600000e-02;4.000000e+00;1.100000e+01;9.962000e-01;3.410000e+00;3.900000e-01;1.090000e+01;5.000000e+00;1.000000e+00
7.200000e+00;7.250000e-01;5.000000e-02;4.650000e+00;8.600000e-02;4.000000e+00;1.100000e+01;9.962000e-01;3.410000e+00;3.900000e-01;1.090000e+01;5.000000e+00;1.000000e+00
7.500000e+00;5.200000e-01;1.100000e-01;1.500000e+00;7.900000e-02;1.100000e+01;3.900000e+01;9.968000e-01;3.420000e+00;5.800000e-01;9.600000e+00;5.000000e+00;1.000000e+00
6.600000e+00;7.050000e-01;7.000000e-02;1.600000e+00;7.600000e-02;6.000000e+00;1.500000e+01;9.962000e-01;3.440000e+00;5.800000e-01;1.070000e+01;5.000000e+00;1.000000e+00
9.300000e+00;3.200000e-01;5.700000e-01;2.000000e+00;7.400000e-02;2.700000e+01;6.500000e+01;9.969000e-01;3.280000e+00;7.900000e-01;1.070000e+01;5.000000e+00;1.000000e+00
8.000000e+00;7.050000e-01;5.000000e-02;1.900000e+00;7.400000e-02;8.000000e+00;1.900000e+01;9.962000e-01;3.340000e+00;9.500000e-01;1.050000e+01;6.000000e+00;1.000000e+00
7.700000e+00;6.300000e-01;8.000000e-02;1.900000e+00;7.600000e-02;1.500000e+01;2.700000e+01;9.967000e-01;3.320000e+00;5.400000e-01;9.500000e+00;6.000000e+00;1.000000e+00
7.700000e+00;6.700000e-01;2.300000e-01;2.100000e+00;8.800000e-02;1.700000e+01;9.600000e+01;9.962000e-01;3.320000e+00;4.800000e-01;9.500000e+00;5.000000e+00;1.000000e+00
7.700000e+00;6.900000e-01;2.200000e-01;1.900000e+00;8.400000e-02;1.800000e+01;9.400000e+01;9.961000e-01;3.310000e+00;4.800000e-01;9.500000e+00;5.000000e+00;1.000000e+00
8.300000e+00;6.750000e-01;2.600000e-01;2.100000e+00;8.400000e-02;1.100000e+01;4.300000e+01;9.976000e-01;3.310000e+00;5.300000e-01;9.200000e+00;4.000000e+00;1.000000e+00
9.700000e+00;3.200000e-01;5.400000e-01;2.500000e+00;9.400000e-02;2.800000e+01;8.300000e+01;9.984000e-01;3.280000e+00;8.200000e-01;9.600000e+00;5.000000e+00;1.000000e+00
8.800000e+00;4.100000e-01;6.400000e-01;2.200000e+00;9.300000e-02;9.000000e+00;4.200000e+01;9.986000e-01;3.540000e+00;6.600000e-01;1.050000e+01;5.000000e+00;1.000000e+00
8.800000e+00;4.100000e-01;6.400000e-01;2.200000e+00;9.300000e-02;9.000000e+00;4.200000e+01;9.986000e-01;3.540000e+00;6.600000e-01;1.050000e+01;5.000000e+00;1.000000e+00
6.800000e+00;7.850000e-01;0.000000e+00;2.400000e+00;1.040000e-01;1.400000e+01;3.000000e+01;9.966000e-01;3.520000e+00;5.500000e-01;1.070000e+01;6.000000e+00;1.000000e+00
6.700000e+00;7.500000e-01;1.200000e-01;2.000000e+00;8.600000e-02;1.200000e+01;8.000000e+01;9.958000e-01;3.380000e+00;5.200000e-01;1.010000e+01;5.000000e+00;1.000000e+00
8.300000e+00;6.250000e-01;2.000000e-01;1.500000e+00;8.000000e-02;2.700000e+01;1.190000e+02;9.972000e-01;3.160000e+00;1.120000e+00;9.100000e+00;4.000000e+00;1.000000e+00
6.200000e+00;4.500000e-01;2.000000e-01;1.600000e+00;6.900000e-02;3.000000e+00;1.500000e+01;9.958000e-01;3.410000e+00;5.600000e-01;9.200000e+00;5.000000e+00;1.000000e+00
7.800000e+00;4.300000e-01;7.000000e-01;1.900000e+00;4.640000e-01;2.200000e+01;6.700000e+01;9.974000e-01;3.130000e+00;1.280000e+00;9.400000e+00;5.000000e+00;1.000000e+00
7.400000e+00;5.000000e-01;4.700000e-01;2.000000e+00;8.600000e-02;2.100000e+01;7.300000e+01;9.970000e-01;3.360000e+00;5.700000e-01;9.100000e+00;5.000000e+00;1.000000e+00
7.300000e+00;6.700000e-01;2.600000e-01;1.800000e+00;4.010000e-01;1.600000e+01;5.100000e+01;9.969000e-01;3.160000e+00;1.140000e+00;9.400000e+00;5.000000e+00;1.000000e+00
6.300000e+00;3.000000e-01;4.800000e-01;1.800000e+00;6.900000e-02;1.800000e+01;6.100000e+01;9.959000e-01;3.440000e+00;7.800000e-01;1.030000e+01;6.000000e+00;1.000000e+00
6.900000e+00;5.500000e-01;1.500000e-01;2.200000e+00;7.600000e-02;1.900000e+01;4.000000e+01;9.961000e-01;3.410000e+00;5.900000e-01;1.010000e+01;5.000000e+00;1.000000e+00
8.600000e+00;4.900000e-01;2.800000e-01;1.900000e+00;1.100000e-01;2.000000e+01;1.360000e+02;9.972000e-01;2.930000e+00;1.950000e+00;9.900000e+00;6.000000e+00;1.000000e+00
7.700000e+00;4.900000e-01;2.600000e-01;1.900000e+00;6.200000e-02;9.000000e+00;3.100000e+01;9.966000e-01;3.390000e+00;6.400000e-01;9.600000e+00;5.000000e+00;1.000000e+00
9.300000e+00;3.900000e-01;4.400000e-01;2.100000e+00;1.070000e-01;3.400000e+01;1.250000e+02;9.978000e-01;3.140000e+00;1.220000e+00;9.500000e+00;5.000000e+00;1.000000e+00
7.000000e+00;6.200000e-01;8.000000e-02;1.800000e+00;7.600000e-02;8.000000e+00;2.400000e+01;9.978000e-01;3.480000e+00;5.300000e-01;9.000000e+00;5.000000e+00;1.000000e+00
7.900000e+00;5.200000e-01;2.600000e-01;1.900000e+00;7.900000e-02;4.200000e+01;1.400000e+02;9.964000e-01;3.230000e+00;5.400000e-01;9.500000e+00;5.000000e+00;1.000000e+00
8.600000e+00;4.900000e-01;2.800000e-01;1.900000e+00;1.100000e-01;2.000000e+01;1.360000e+02;9.972000e-01;2.930000e+00;1.950000e+00;9.900000e+00;6.000000e+00;1.000000e+00
8.600000e+00;4.900000e-01;2.900000e-01;2.000000e+00;1.100000e-01;1.900000e+01;1.330000e+02;9.972000e-01;2.930000e+00;1.980000e+00;9.800000e+00;5.000000e+00;1.000000e+00
7.700000e+00;4.900000e-01;2.600000e-01;1.900000e+00;6.200000e-02;9.000000e+00;3.100000e+01;9.966000e-01;3.390000e+00;6.400000e-01;9.600000e+00;5.000000e+00;1.000000e+00
5.000000e+00;1.020000e+00;4.000000e-02;1.400000e+00;4.500000e-02;4.100000e+01;8.500000e+01;9.938000e-01;3.750000e+00;4.800000e-01;1.050000e+01;4.000000e+00;1.000000e+00
4.700000e+00;6.000000e-01;1.700000e-01;2.300000e+00;5.800000e-02;1.700000e+01;1.060000e+02;9.932000e-01;3.850000e+00;6.000000e-01;1.290000e+01;6.000000e+00;1.000000e+00
6.800000e+00;7.750000e-01;0.000000e+00;3.000000e+00;1.020000e-01;8.000000e+00;2.300000e+01;9.965000e-01;3.450000e+00;5.600000e-01;1.070000e+01;5.000000e+00;1.000000e+00
7.000000e+00;5.000000e-01;2.500000e-01;2.000000e+00;7.000000e-02;3.000000e+00;2.200000e+01;9.963000e-01;3.250000e+00;6.300000e-01;9.200000e+00;5.000000e+00;1.000000e+00
7.600000e+00;9.000000e-01;6.000000e-02;2.500000e+00;7.900000e-02;5.000000e+00;1.000000e+01;9.967000e-01;3.390000e+00;5.600000e-01;9.800000e+00;5.000000e+00;1.000000e+00
8.100000e+00;5.450000e-01;1.800000e-01;1.900000e+00;8.000000e-02;1.300000e+01;3.500000e+01;9.972000e-01;3.300000e+00;5.900000e-01;9.000000e+00;6.000000e+00;1.000000e+00
8.300000e+00;6.100000e-01;3.000000e-01;2.100000e+00;8.400000e-02;1.100000e+01;5.000000e+01;9.972000e-01;3.400000e+00;6.100000e-01;1.020000e+01;6.000000e+00;1.000000e+00
7.800000e+00;5.000000e-01;3.000000e-01;1.900000e+00;7.500000e-02;8.000000e+00;2.200000e+01;9.959000e-01;3.310000e+00;5.600000e-01;1.040000e+01;6.000000e+00;1.000000e+00
8.100000e+00;5.450000e-01;1.800000e-01;1.900000e+00;8.000000e-02;1.300000e+01;3.500000e+01;9.972000e-01;3.300000e+00;5.900000e-01;9.000000e+00;6.000000e+00;1.000000e+00
8.100000e+00;5.750000e-01;2.200000e-01;2.100000e+00;7.700000e-02;1.200000e+01;6.500000e+01;9.967000e-01;3.290000e+00;5.100000e-01;9.200000e+00;5.000000e+00;1.000000e+00
7.200000e+00;4.900000e-01;2.400000e-01;2.200000e+00;7.000000e-02;5.000000e+00;3.600000e+01;9.960000e-01;3.330000e+00;4.800000e-01;9.400000e+00;5.000000e+00;1.000000e+00
8.100000e+00;5.750000e-01;2.200000e-01;2.100000e+00;7.700000e-02;1.200000e+01;6.500000e+01;9.967000e-01;3.290000e+00;5.100000e-01;9.200000e+00;5.000000e+00;1.000000e+00
7.800000e+00;4.100000e-01;6.800000e-01;1.700000e+00;4.670000e-01;1.800000e+01;6.900000e+01;9.973000e-01;3.080000e+00;1.310000e+00;9.300000e+00;5.000000e+00;1.000000e+00
6.200000e+00;6.300000e-01;3.100000e-01;1.700000e+00;8.800000e-02;1.500000e+01;6.400000e+01;9.969000e-01;3.460000e+00;7.900000e-01;9.300000e+00;5.000000e+00;1.000000e+00
8.000000e+00;3.300000e-01;5.300000e-01;2.500000e+00;9.100000e-02;1.800000e+01;8.000000e+01;9.976000e-01;3.370000e+00;8.000000e-01;9.600000e+00;6.000000e+00;1.000000e+00
8.100000e+00;7.850000e-01;5.200000e-01;2.000000e+00;1.220000e-01;3.700000e+01;1.530000e+02;9.969000e-01;3.210000e+00;6.900000e-01;9.300000e+00;5.000000e+00;1.000000e+00
7.800000e+00;5.600000e-01;1.900000e-01;1.800000e+00;1.040000e-01;1.200000e+01;4.700000e+01;9.964000e-01;3.190000e+00;9.300000e-01;9.500000e+00;5.000000e+00;1.000000e+00
8.400000e+00;6.200000e-01;9.000000e-02;2.200000e+00;8.400000e-02;1.100000e+01;1.080000e+02;9.964000e-01;3.150000e+00;6.600000e-01;9.800000e+00;5.000000e+00;1.000000e+00
8.400000e+00;6.000000e-01;1.000000e-01;2.200000e+00;8.500000e-02;1.400000e+01;1.110000e+02;9.964000e-01;3.150000e+00;6.600000e-01;9.800000e+00;5.000000e+00;1.000000e+00
1.010000e+01;3.100000e-01;4.400000e-01;2.300000e+00;8.000000e-02;2.200000e+01;4.600000e+01;9.988000e-01;3.320000e+00;6.700000e-01;9.700000e+00;6.000000e+00;1.000000e+00
7.800000e+00;5.600000e-01;1.900000e-01;1.800000e+00;1.040000e-01;1.200000e+01;4.700000e+01;9.964000e-01;3.190000e+00;9.300000e-01;9.500000e+00;5.000000e+00;1.000000e+00
9.400000e+00;4.000000e-01;3.100000e-01;2.200000e+00;9.000000e-02;1.300000e+01;6.200000e+01;9.966000e-01;3.070000e+00;6.300000e-01;1.050000e+01;6.000000e+00;1.000000e+00
8.300000e+00;5.400000e-01;2.800000e-01;1.900000e+00;7.700000e-02;1.100000e+01;4.000000e+01;9.978000e-01;3.390000e+00;6.100000e-01;1.000000e+01;6.000000e+00;1.000000e+00
7.800000e+00;5.600000e-01;1.200000e-01;2.000000e+00;8.200000e-02;7.000000e+00;2.800000e+01;9.970000e-01;3.370000e+00;5.000000e-01;9.400000e+00;6.000000e+00;1.000000e+00
8.800000e+00;5.500000e-01;4.000000e-02;2.200000e+00;1.190000e-01;1.400000e+01;5.600000e+01;9.962000e-01;3.210000e+00;6.000000e-01;1.090000e+01;6.000000e+00;1.000000e+00
7.000000e+00;6.900000e-01;8.000000e-02;1.800000e+00;9.700000e-02;2.200000e+01;8.900000e+01;9.959000e-01;3.340000e+00;5.400000e-01;9.200000e+00;6.000000e+00;1.000000e+00
7.300000e+00;1.070000e+00;9.000000e-02;1.700000e+00;1.780000e-01;1.000000e+01;8.900000e+01;9.962000e-01;3.300000e+00;5.700000e-01;9.000000e+00;5.000000e+00;1.000000e+00
8.800000e+00;5.500000e-01;4.000000e-02;2.200000e+00;1.190000e-01;1.400000e+01;5.600000e+01;9.962000e-01;3.210000e+00;6.000000e-01;1.090000e+01;6.000000e+00;1.000000e+00
7.300000e+00;6.950000e-01;0.000000e+00;2.500000e+00;7.500000e-02;3.000000e+00;1.300000e+01;9.980000e-01;3.490000e+00;5.200000e-01;9.200000e+00;5.000000e+00;1.000000e+00
8.000000e+00;7.100000e-01;0.000000e+00;2.600000e+00;8.000000e-02;1.100000e+01;3.400000e+01;9.976000e-01;3.440000e+00;5.300000e-01;9.500000e+00;5.000000e+00;1.000000e+00
7.800000e+00;5.000000e-01;1.700000e-01;1.600000e+00;8.200000e-02;2.100000e+01;1.020000e+02;9.960000e-01;3.390000e+00;4.800000e-01;9.500000e+00;5.000000e+00;1.000000e+00
9.000000e+00;6.200000e-01;4.000000e-02;1.900000e+00;1.460000e-01;2.700000e+01;9.000000e+01;9.984000e-01;3.160000e+00;7.000000e-01;9.400000e+00;5.000000e+00;1.000000e+00
8.200000e+00;1.330000e+00;0.000000e+00;1.700000e+00;8.100000e-02;3.000000e+00;1.200000e+01;9.964000e-01;3.530000e+00;4.900000e-01;1.090000e+01;5.000000e+00;1.000000e+00
8.100000e+00;1.330000e+00;0.000000e+00;1.800000e+00;8.200000e-02;3.000000e+00;1.200000e+01;9.964000e-01;3.540000e+00;4.800000e-01;1.090000e+01;5.000000e+00;1.000000e+00
8.000000e+00;5.900000e-01;1.600000e-01;1.800000e+00;6.500000e-02;3.000000e+00;1.600000e+01;9.962000e-01;3.420000e+00;9.200000e-01;1.050000e+01;7.000000e+00;1.000000e+00
6.100000e+00;3.800000e-01;1.500000e-01;1.800000e+00;7.200000e-02;6.000000e+00;1.900000e+01;9.955000e-01;3.420000e+00;5.700000e-01;9.400000e+00;5.000000e+00;1.000000e+00
8.000000e+00;7.450000e-01;5.600000e-01;2.000000e+00;1.180000e-01;3.000000e+01;1.340000e+02;9.968000e-01;3.240000e+00;6.600000e-01;9.400000e+00;5.000000e+00;1.000000e+00
5.600000e+00;5.000000e-01;9.000000e-02;2.300000e+00;4.900000e-02;1.700000e+01;9.900000e+01;9.937000e-01;3.630000e+00;6.300000e-01;1.300000e+01;5.000000e+00;1.000000e+00
5.600000e+00;5.000000e-01;9.000000e-02;2.300000e+00;4.900000e-02;1.700000e+01;9.900000e+01;9.937000e-01;3.630000e+00;6.300000e-01;1.300000e+01;5.000000e+00;1.000000e+00
